peabody,urban,disadv
62,1,1
80,1,1
32,1,1
27,1,1
71,1,1
32,1,1
28,1,1
38,1,1
49,1,1
32,1,1
43,1,1
58,1,1
39,1,1
43,1,1
56,1,1
37,1,1
43,1,1
29,1,1
45,1,1
51,1,1
55,1,1
49,1,1
31,1,1
40,1,1
48,1,1
35,1,1
62,1,1
42,1,1
58,1,1
29,1,1
49,1,1
30,1,1
62,1,1
58,1,1
55,1,1
33,1,1
55,1,1
27,1,1
62,1,1
58,1,1
34,1,1
32,1,1
32,1,1
28,1,1
29,1,1
35,1,1
67,1,1
29,1,1
35,1,1
67,1,1
39,1,1
90,1,1
46,1,1
39,1,1
34,1,1
38,1,1
34,1,1
37,1,1
33,1,1
36,1,1
49,1,0
53,1,0
65,1,0
55,1,0
85,1,0
43,1,0
65,1,0
75,1,0
85,1,0
40,1,0
58,1,0
42,1,0
69,1,0
58,1,0
37,1,0
62,1,0
99,1,0
75,1,0
82,1,0
47,1,0
62,1,0
67,1,0
40,1,0
41,1,0
56,1,0
73,1,0
85,1,0
59,1,0
58,1,0
92,1,0
69,1,0
56,1,0
78,1,0
58,1,0
78,1,0
67,1,0
69,1,0
53,1,0
55,1,0
53,1,0
67,1,0
62,1,0
59,1,0
46,1,0
58,1,0
92,1,0
48,1,0
65,1,0
67,1,0
59,1,0
39,1,0
47,1,0
51,1,0
43,1,0
65,1,0
39,0,0
33,0,0
34,0,0
35,0,0
32,0,0
44,0,0
31,0,0
44,0,0
27,0,0
29,0,0
47,0,0
35,0,0
32,0,0
36,0,0
38,0,0
42,0,0
27,0,0
60,0,0
28,0,0
33,0,0
55,0,0
29,0,0
46,0,0
33,0,0
32,0,0
47,0,0
90,0,0
61,0,0
36,0,0
35,0,0
48,0,0
35,0,0
35,0,0
35,0,0
35,0,0
45,0,0
33,0,0
42,0,0
32,0,0
40,0,0
42,0,0
46,0,0
39,0,0
69,0,0
36,0,0
35,0,0
34,0,0
32,0,0
38,0,0
32,0,0
34,0,0
35,0,0
34,0,0
28,0,0
29,0,0
37,0,0
32,0,0
35,0,0
35,0,0
32,0,0
47,0,0
35,0,0
35,0,0
30,0,0
35,0,1
39,0,1
39,0,1
36,0,1
27,0,1
45,0,1
28,0,1
40,0,1
47,0,1
36,0,1
39,0,1
39,0,1
43,0,1
69,0,1
69,0,1
38,0,1
39,0,1
30,0,1
34,0,1
36,0,1
48,0,1
49,0,1
49,0,1
37,0,1
45,0,1
46,0,1
32,0,1
30,0,1
35,0,1
36,0,1
45,0,1
59,0,1
42,0,1
41,0,1
39,0,1
94,0,1
55,0,1
28,0,1
32,0,1
28,0,1
59,0,1
27,0,1
61,0,1
