width,len,real
9.7,139.8,0
11,139.5,0
8.7,140.2,0
9.9,140.3,0
11.8,139.7,0
10.6,139.9,0
9.3,140.2,0
9.8,139.9,0
10,139.4,0
10.4,140.3,0
8,139.2,0
10.6,140.1,0
9.7,140.6,0
11.4,139.9,0
10.6,139.7,0
8.2,139.2,0
11.8,139.8,0
12.1,139.9,0
11,140,0
10.1,139.2,0
10.1,139.6,0
12.3,139.6,0
11.6,140.2,0
10.5,139.7,0
9.9,140.1,0
10.2,139.6,0
9.4,140.2,0
10.2,140,0
10.1,140.3,0
9.8,139.9,0
10.7,139.8,0
12.3,139.2,0
10.6,139.9,0
10.5,139.7,0
11,139.5,0
11.9,139.5,0
10.7,139.4,0
9.3,138.3,0
11.3,139.8,0
11.8,139.6,0
10,139.3,0
10.2,139.2,0
11.2,139.9,0
10.6,139.9,0
11.4,139.3,0
11.9,139.8,0
11.4,139.9,0
9.3,138.1,0
10.7,139.4,0
9.9,139.4,0
11.9,139.8,0
11.9,139,0
10.4,139.3,0
12.1,139.4,0
11,139.5,0
11.6,139.7,0
10.3,139.5,0
11.3,139.2,0
12.5,139.3,0
8.1,137.9,0
7.4,138.4,0
9.9,138.1,0
11.5,139.5,0
11.6,139.1,0
11.4,139.8,0
10.3,139.7,0
10,138.8,0
9.6,138.6,0
9.6,139.6,0
11.4,139.7,0
8.7,137.8,0
12,139.6,0
11.8,139.4,0
10.4,139.2,0
11.4,139.6,0
11.9,139,0
11.6,139.7,0
9.9,139.6,0
10.2,139.1,0
8.2,137.8,0
11.4,139.1,0
8,138.7,0
11,139.3,0
10.1,139.3,0
10.7,139.5,0
11.5,139.4,0
8,138.5,0
11.4,139.2,0
9.6,139.4,0
12.7,139.2,0
10.2,139.4,0
8.8,138.6,0
10.8,139.2,0
9.6,138.5,0
11.6,139.8,0
9.9,139.6,0
10.3,139.7,0
10.6,140,0
11.2,139.4,0
10.2,139.6,0
9,141,1
8.1,141.7,1
8.7,142.2,1
7.5,142,1
10.4,141.8,1
9,141.4,1
7.9,141.6,1
7.2,141.7,1
8.2,141.9,1
9.2,140.7,1
7.9,141.8,1
7.7,142.2,1
7.9,141.4,1
7.7,141.7,1
7.7,141.8,1
9.3,141.6,1
8.2,141.7,1
9,141.9,1
7.4,141.5,1
8.6,141.9,1
8.4,141.4,1
8.1,141.6,1
8.4,141.5,1
8.7,141.6,1
7.4,141.1,1
8,142.3,1
8.9,142.4,1
9.8,141.9,1
7.4,141.8,1
8.3,142,1
7.9,141.8,1
8.6,142.3,1
7.7,140.7,1
8.4,141,1
8.9,141.4,1
9.4,141.8,1
8.4,141.8,1
7.9,142,1
8.5,142.1,1
8.1,141.3,1
8.9,142.3,1
8.8,140.9,1
9.3,141.7,1
9,140.9,1
8.2,141,1
8.3,141.8,1
8.3,141.5,1
7.3,142,1
7.9,141.1,1
7.8,142,1
7.2,141.3,1
9.5,141.1,1
7.8,140.9,1
7.6,141.6,1
7.9,141.4,1
9.2,142,1
9.2,141.2,1
8.8,141.1,1
7.9,141.3,1
8.2,141.4,1
8.3,141.6,1
7.5,141.5,1
8,141.5,1
8,141.4,1
8.6,141.5,1
8.8,140.8,1
7.7,141.3,1
9.1,141.5,1
8.6,141.8,1
8,139.6,1
8.4,140.9,1
8.2,141.4,1
8.7,141.2,1
7.5,141.8,1
7.2,142.1,1
7.6,141.7,1
8.8,141.2,1
7.4,141,1
7.9,140.9,1
7.9,141.8,1
8.6,140.6,1
7.5,141,1
9,141.9,1
7.9,141.3,1
9,141.2,1
8.9,141.5,1
8.7,141.6,1
8.4,142.1,1
7.4,141.5,1
8,142,1
8.6,141.6,1
8.5,141.4,1
8.2,141.5,1
7.4,141.5,1
8.3,142,1
9,141.7,1
9.1,141.1,1
8,141.2,1
9.1,141.5,1
7.8,141.2,1
,,
,,100
